lastSiteNodeId,fileType,isCreatedSite,snType,virtualRootList,virtualTreeList,siteId,attribute,id,nodeName,siteNodeId,bodySiteNodeId,instanceType,structureList,labelCollections,type
,,False,0,[],"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb,INSTANCE,64e309dff53c3715653685cb@64e30aa9f53c371565368609,去年,64e309dff53c3715653685cb@64e30aa9f53c371565368609,64e309dff53c3715653685cb@64e30a94f53c3715653685fe,,,"[{'id': '64e30f6979b7454340cba7b6', 'name': '数标签组', 'labelIds': ['64e30f4e79b7454340cba7ad'], 'type': '常规标签组', 'remark': '', 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'children': [{'id': '64e30f4e79b7454340cba7ad', 'name': '数', 'dataType': '数字', 'type': 'number', 'remark': '', 'rule': None, 'enumerate': '[]', 'icon': None, 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:30', 'updateTime': None, 'associationClassification': None, 'formItemFlag': True, 'options': {}, 'labelIdPath': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad', 'value': '22', 'pid': None, 'labelCollectionId': '64e30f6979b7454340cba7b6', 'dataIndex': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad'}], 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:57', 'updateTime': None}]",自建
,,False,0,[],"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb,INSTANCE,64e309dff53c3715653685cb@64e30aa9f53c37156536860a,今年,64e309dff53c3715653685cb@64e30aa9f53c37156536860a,64e309dff53c3715653685cb@64e30a94f53c3715653685fe,,,"[{'id': '64e30f6979b7454340cba7b6', 'name': '数标签组', 'labelIds': ['64e30f4e79b7454340cba7ad'], 'type': '常规标签组', 'remark': '', 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'children': [{'id': '64e30f4e79b7454340cba7ad', 'name': '数', 'dataType': '数字', 'type': 'number', 'remark': '', 'rule': None, 'enumerate': '[]', 'icon': None, 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:30', 'updateTime': None, 'associationClassification': None, 'formItemFlag': True, 'options': {}, 'labelIdPath': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad', 'value': '22', 'pid': None, 'labelCollectionId': '64e30f6979b7454340cba7b6', 'dataIndex': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad'}], 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:57', 'updateTime': None}]",自建
,,False,0,[],"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb,INSTANCE,64e309dff53c3715653685cb@64e30aa9f53c37156536860b,明年,64e309dff53c3715653685cb@64e30aa9f53c37156536860b,64e309dff53c3715653685cb@64e30a94f53c3715653685fe,,,"[{'id': '64e30f6979b7454340cba7b6', 'name': '数标签组', 'labelIds': ['64e30f4e79b7454340cba7ad'], 'type': '常规标签组', 'remark': '', 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'children': [{'id': '64e30f4e79b7454340cba7ad', 'name': '数', 'dataType': '数字', 'type': 'number', 'remark': '', 'rule': None, 'enumerate': '[]', 'icon': None, 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:30', 'updateTime': None, 'associationClassification': None, 'formItemFlag': True, 'options': {}, 'labelIdPath': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad', 'value': '22', 'pid': None, 'labelCollectionId': '64e30f6979b7454340cba7b6', 'dataIndex': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad'}], 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:57', 'updateTime': None}]",自建
,,False,0,[],"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb,INSTANCE,64e309dff53c3715653685cb@64e30ac2f53c371565368614,上个月,64e309dff53c3715653685cb@64e30ac2f53c371565368614,64e309dff53c3715653685cb@64e30a94f53c3715653685ff,,,"[{'id': '64e30f6979b7454340cba7b6', 'name': '数标签组', 'labelIds': ['64e30f4e79b7454340cba7ad'], 'type': '常规标签组', 'remark': '', 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'children': [{'id': '64e30f4e79b7454340cba7ad', 'name': '数', 'dataType': '数字', 'type': 'number', 'remark': '', 'rule': None, 'enumerate': '[]', 'icon': None, 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:30', 'updateTime': None, 'associationClassification': None, 'formItemFlag': True, 'options': {}, 'labelIdPath': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad', 'value': '22', 'pid': None, 'labelCollectionId': '64e30f6979b7454340cba7b6', 'dataIndex': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad'}], 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:57', 'updateTime': None}]",自建
,,False,0,[],"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb,INSTANCE,64e309dff53c3715653685cb@64e30ac2f53c371565368615,这个月,64e309dff53c3715653685cb@64e30ac2f53c371565368615,64e309dff53c3715653685cb@64e30a94f53c3715653685ff,,,"[{'id': '64e30f6979b7454340cba7b6', 'name': '数标签组', 'labelIds': ['64e30f4e79b7454340cba7ad'], 'type': '常规标签组', 'remark': '', 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'children': [{'id': '64e30f4e79b7454340cba7ad', 'name': '数', 'dataType': '数字', 'type': 'number', 'remark': '', 'rule': None, 'enumerate': '[]', 'icon': None, 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:30', 'updateTime': None, 'associationClassification': None, 'formItemFlag': True, 'options': {}, 'labelIdPath': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad', 'value': '22', 'pid': None, 'labelCollectionId': '64e30f6979b7454340cba7b6', 'dataIndex': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad'}], 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:57', 'updateTime': None}]",自建
,,False,0,[],"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb,INSTANCE,64e309dff53c3715653685cb@64e30ac2f53c371565368616,下个月,64e309dff53c3715653685cb@64e30ac2f53c371565368616,64e309dff53c3715653685cb@64e30a94f53c3715653685ff,,,"[{'id': '64e30f6979b7454340cba7b6', 'name': '数标签组', 'labelIds': ['64e30f4e79b7454340cba7ad'], 'type': '常规标签组', 'remark': '', 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'children': [{'id': '64e30f4e79b7454340cba7ad', 'name': '数', 'dataType': '数字', 'type': 'number', 'remark': '', 'rule': None, 'enumerate': '[]', 'icon': None, 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:30', 'updateTime': None, 'associationClassification': None, 'formItemFlag': True, 'options': {}, 'labelIdPath': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad', 'value': '22', 'pid': None, 'labelCollectionId': '64e30f6979b7454340cba7b6', 'dataIndex': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad'}], 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:57', 'updateTime': None}]",自建
,,False,0,[],"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb,INSTANCE,64e309dff53c3715653685cb@64e30ad1f53c37156536861b,昨日,64e309dff53c3715653685cb@64e30ad1f53c37156536861b,64e309dff53c3715653685cb@64e30a94f53c371565368600,,,"[{'id': '64e30f6979b7454340cba7b6', 'name': '数标签组', 'labelIds': ['64e30f4e79b7454340cba7ad'], 'type': '常规标签组', 'remark': '', 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'children': [{'id': '64e30f4e79b7454340cba7ad', 'name': '数', 'dataType': '数字', 'type': 'number', 'remark': '', 'rule': None, 'enumerate': '[]', 'icon': None, 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:30', 'updateTime': None, 'associationClassification': None, 'formItemFlag': True, 'options': {}, 'labelIdPath': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad', 'value': '22', 'pid': None, 'labelCollectionId': '64e30f6979b7454340cba7b6', 'dataIndex': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad'}], 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:57', 'updateTime': None}, {'id': '64e311d154031c54dba73420', 'name': '节日标签组', 'labelIds': ['64e311b554031c54dba73415'], 'type': '常规标签组', 'remark': '', 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'children': [{'id': '64e311b554031c54dba73415', 'name': '节日', 'dataType': '字符', 'type': 'input', 'remark': '', 'rule': None, 'enumerate': '[]', 'icon': None, 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:26:45', 'updateTime': None, 'associationClassification': None, 'formItemFlag': True, 'options': {}, 'labelIdPath': '64e311d154031c54dba73420/64e311b554031c54dba73415', 'value': '七夕节', 'pid': None, 'labelCollectionId': '64e311d154031c54dba73420', 'dataIndex': '64e311d154031c54dba73420/64e311b554031c54dba73415'}], 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:27:13', 'updateTime': None}]",自建
,,False,0,[],"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb,INSTANCE,64e309dff53c3715653685cb@64e30ad1f53c37156536861c,今日,64e309dff53c3715653685cb@64e30ad1f53c37156536861c,64e309dff53c3715653685cb@64e30a94f53c371565368600,,,"[{'id': '64e30f6979b7454340cba7b6', 'name': '数标签组', 'labelIds': ['64e30f4e79b7454340cba7ad'], 'type': '常规标签组', 'remark': '', 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'children': [{'id': '64e30f4e79b7454340cba7ad', 'name': '数', 'dataType': '数字', 'type': 'number', 'remark': '', 'rule': None, 'enumerate': '[]', 'icon': None, 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:30', 'updateTime': None, 'associationClassification': None, 'formItemFlag': True, 'options': {}, 'labelIdPath': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad', 'value': '22', 'pid': None, 'labelCollectionId': '64e30f6979b7454340cba7b6', 'dataIndex': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad'}], 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:57', 'updateTime': None}, {'id': '64e311d154031c54dba73420', 'name': '节日标签组', 'labelIds': ['64e311b554031c54dba73415'], 'type': '常规标签组', 'remark': '', 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'children': [{'id': '64e311b554031c54dba73415', 'name': '节日', 'dataType': '字符', 'type': 'input', 'remark': '', 'rule': None, 'enumerate': '[]', 'icon': None, 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:26:45', 'updateTime': None, 'associationClassification': None, 'formItemFlag': True, 'options': {}, 'labelIdPath': '64e311d154031c54dba73420/64e311b554031c54dba73415', 'value': '七夕节', 'pid': None, 'labelCollectionId': '64e311d154031c54dba73420', 'dataIndex': '64e311d154031c54dba73420/64e311b554031c54dba73415'}], 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:27:13', 'updateTime': None}]",自建
,,False,0,[],"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb,INSTANCE,64e309dff53c3715653685cb@64e30ad1f53c37156536861d,明日,64e309dff53c3715653685cb@64e30ad1f53c37156536861d,64e309dff53c3715653685cb@64e30a94f53c371565368600,,,"[{'id': '64e30f6979b7454340cba7b6', 'name': '数标签组', 'labelIds': ['64e30f4e79b7454340cba7ad'], 'type': '常规标签组', 'remark': '', 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'children': [{'id': '64e30f4e79b7454340cba7ad', 'name': '数', 'dataType': '数字', 'type': 'number', 'remark': '', 'rule': None, 'enumerate': '[]', 'icon': None, 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:30', 'updateTime': None, 'associationClassification': None, 'formItemFlag': True, 'options': {}, 'labelIdPath': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad', 'value': '22', 'pid': None, 'labelCollectionId': '64e30f6979b7454340cba7b6', 'dataIndex': '64e30f6979b7454340cba7b6/64e30f4e79b7454340cba7ad'}], 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:16:57', 'updateTime': None}, {'id': '64e311d154031c54dba73420', 'name': '节日标签组', 'labelIds': ['64e311b554031c54dba73415'], 'type': '常规标签组', 'remark': '', 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'children': [{'id': '64e311b554031c54dba73415', 'name': '节日', 'dataType': '字符', 'type': 'input', 'remark': '', 'rule': None, 'enumerate': '[]', 'icon': None, 'classificationIds': ['631a98871e155c0c36c30322@64c376111cce3d54abc0ee8d'], 'organizationId': '64c376211cce3d54abc0ee93', 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:26:45', 'updateTime': None, 'associationClassification': None, 'formItemFlag': True, 'options': {}, 'labelIdPath': '64e311d154031c54dba73420/64e311b554031c54dba73415', 'value': '七夕节', 'pid': None, 'labelCollectionId': '64e311d154031c54dba73420', 'dataIndex': '64e311d154031c54dba73420/64e311b554031c54dba73415'}], 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': None, 'createTime': '2023-08-21 15:27:13', 'updateTime': None}]",自建
,,False,0,[],,64e309dff53c3715653685cb,INSTANCE,64e309dff53c3715653685cb@64e3121ef53c3715653687b2,鼠,64e309dff53c3715653685cb@64e3121ef53c3715653687b2,64e309dff53c3715653685cb@64e31173f53c37156536873d,,,[],自建
