pid,virtualTreeList,siteNodeId,groupId,labelCollections,bodyRelationId
,"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb@64e30aa9f53c371565368609,,,64e30a94f53c371565368602
64e309dff53c3715653685cb@64e3121ef53c3715653687b4,,64e309dff53c3715653685cb@64e30aa9f53c371565368609,,,64e3162ef53c371565368929
,"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb@64e30aa9f53c37156536860a,,,64e30a94f53c371565368602
64e309dff53c3715653685cb@64e3121ef53c3715653687b5,,64e309dff53c3715653685cb@64e30aa9f53c37156536860a,,,64e3162ef53c371565368929
,"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb@64e30aa9f53c37156536860b,,,64e30a94f53c371565368602
64e309dff53c3715653685cb@64e3121ef53c3715653687b6,,64e309dff53c3715653685cb@64e30aa9f53c37156536860b,,,64e3162ef53c371565368929
64e309dff53c3715653685cb@64e30aa9f53c371565368609,"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb@64e30ac2f53c371565368614,,,64e30a94f53c371565368603
64e309dff53c3715653685cb@64e3128ef53c3715653687e5,,64e309dff53c3715653685cb@64e30ac2f53c371565368614,,,64e3160ff53c371565368918
64e309dff53c3715653685cb@64e30aa9f53c37156536860a,"[{'id': '64e30a94f53c371565368601', 'nodeName': '时间虚拟树——静态', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 1, 'siteId': '64e309dff53c3715653685cb', 'lastTreeId': None, 'remark': None, 'createBy': '64c373be3d0d8c4ea43d51dd', 'updateBy': '64c373be3d0d8c4ea43d51dd', 'createTime': '2023-08-21', 'updateTime': '2023-08-21'}]",64e309dff53c3715653685cb@64e30ac2f53c371565368615,,,64e30a94f53c371565368603
64e309dff53c3715653685cb@64e3128ef53c3715653687e6,,64e309dff53c3715653685cb@64e30ac2f53c371565368615,,,64e3160ff53c371565368918
